Team,OPR,Hub Total Fuel Count,Hub Transition Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
4414,429.48,422.97,40.25,97.93,96.95,0.27,0.06
1323,331.99,333.72,33.53,82.44,69.43,0.58,0.04
1325,251.78,247.27,19.49,59.29,57.45,0.23,-0.35
3538,249.80,238.74,21.79,64.38,58.02,0.07,0.03
3478,239.15,228.99,10.63,72.03,53.32,0.34,0.07
4678,231.62,226.68,16.98,44.20,58.36,-0.06,0.34
5813,213.42,217.85,29.62,70.87,50.70,0.15,0.22
272,211.73,207.72,12.33,77.00,55.14,0.08,0.25
316,209.45,201.97,9.51,31.93,33.09,0.23,0.07
469,190.06,188.09,15.33,39.59,45.29,0.05,-0.27
176,189.25,189.34,12.86,45.06,36.32,0.20,0.14
4028,189.16,189.41,6.53,42.18,48.71,0.41,-0.20
2073,187.03,183.17,8.98,58.75,37.02,-0.03,-0.01
340,186.48,186.65,22.72,61.55,26.56,0.31,0.12
6941,184.19,181.95,7.84,45.18,41.21,0.65,0.60
2472,183.31,177.48,23.69,49.22,36.05,0.08,-0.01
3656,181.83,168.93,15.26,68.80,29.73,-0.25,0.00
6017,174.37,167.98,12.75,51.95,44.82,0.05,-0.29
11,167.29,159.68,8.66,54.98,32.70,0.15,0.03
1156,165.51,166.99,20.79,58.46,22.60,-0.02,0.43
7520,155.27,154.39,1.46,26.79,50.46,0.18,-0.12
2883,154.56,152.14,9.46,46.32,38.96,0.47,0.40
10213,150.02,143.15,10.94,41.26,38.46,-0.19,0.18
3314,148.47,145.68,19.76,45.83,17.89,0.26,0.09
3100,147.37,137.36,11.42,34.28,40.76,0.41,-0.24
6919,144.05,143.16,-1.00,37.58,46.03,0.17,0.13
5847,142.66,143.77,17.39,28.21,33.61,0.06,0.13
4674,142.59,139.09,10.78,57.68,35.08,0.29,0.05
1676,141.43,140.13,6.27,30.21,29.14,-0.14,0.19
5937,140.75,136.64,13.74,25.49,30.33,0.30,0.23
4188,136.09,135.23,8.06,40.56,24.61,0.25,0.27
1058,136.00,137.22,8.85,29.08,35.81,0.14,0.40
7712,135.44,137.45,2.80,34.05,39.25,0.67,0.22
7632,134.49,134.48,-0.78,52.97,27.82,0.47,-0.23
3339,133.80,134.96,13.04,30.74,25.67,0.36,0.02
2338,131.95,136.89,7.40,33.15,33.80,0.11,-0.26
11141,130.80,129.48,1.07,45.49,35.15,-0.23,0.76
9545,130.48,116.10,-3.22,45.30,31.28,0.04,0.14
972,128.97,121.39,3.90,23.83,37.87,-0.25,-0.02
1939,128.58,120.93,8.29,32.08,35.47,-0.00,-0.29
4065,128.36,114.70,-2.26,33.58,46.18,0.71,0.02
9094,122.14,123.75,0.51,22.70,32.33,-0.14,0.07
2399,114.70,119.43,3.01,26.62,31.38,0.63,-0.17
8393,113.77,109.53,0.77,11.19,21.07,0.12,0.35
1720,112.55,110.68,10.92,23.60,22.62,0.28,0.33
5534,111.80,112.47,-3.06,24.07,36.63,-0.03,0.13
6696,111.47,107.61,10.21,37.35,20.37,-0.27,0.03
624,109.79,109.79,4.82,18.89,36.88,0.23,0.04
4189,103.34,103.21,6.71,22.55,18.10,0.16,0.46
2718,98.48,98.69,11.97,23.30,15.50,-0.14,0.10
1880,87.75,79.96,2.49,17.98,32.98,0.43,0.06
6998,87.38,87.74,4.64,26.65,13.73,0.01,0.29
8724,87.16,86.11,4.85,29.23,15.78,0.36,-0.17
1741,82.76,76.51,5.18,15.07,6.10,0.27,0.10
1727,81.20,82.39,-6.47,16.65,25.18,0.36,0.03
1538,81.12,74.45,1.32,10.73,16.30,0.41,-0.12
999,76.76,64.16,8.20,8.88,13.80,0.24,0.16
2530,76.61,78.32,-1.64,14.20,18.12,0.06,0.38
3646,74.62,62.86,0.22,2.75,23.48,0.56,0.24
6391,74.47,67.50,-2.12,21.73,14.83,0.30,0.37
3990,73.03,80.20,2.92,15.90,15.21,0.23,0.27
9175,70.98,67.83,4.85,26.49,9.42,0.09,0.14
2429,68.02,61.85,-0.92,8.95,6.55,0.94,-0.14
1629,55.77,52.77,-7.44,-14.23,25.19,0.21,0.37
3008,54.47,46.30,4.86,10.29,6.42,0.46,0.21
10002,51.02,46.48,-2.26,11.85,13.70,0.51,-0.18
11178,49.99,55.22,5.07,14.32,9.47,-0.03,0.57
3880,49.97,50.86,-0.37,8.56,16.36,0.29,0.43
303,48.72,46.49,4.08,1.98,2.77,0.11,-0.27
5557,45.56,46.49,1.95,17.78,10.03,0.55,-0.14
6106,35.42,13.99,0.97,4.57,6.65,0.36,0.32
1155,33.78,35.12,5.11,19.23,2.59,-0.26,0.07
5550,25.44,28.31,6.30,0.69,9.33,0.19,0.09
10229,16.91,18.16,0.94,0.98,0.22,0.62,0.29
10619,-16.64,-21.38,-4.21,-4.77,3.43,0.08,-0.15