Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub Transition Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
1768,335.40,86.60,331.08,34.28,91.76,68.21,0.37,0.15
7769,333.84,79.40,334.38,19.86,97.51,68.37,0.20,0.04
1690,323.27,79.14,325.07,27.46,72.39,71.67,0.42,0.09
9496,307.15,69.56,297.75,16.22,75.48,64.49,0.58,-0.36
2468,257.20,79.28,264.88,12.78,69.58,49.42,0.11,0.29
4469,247.44,74.76,242.93,18.90,56.79,58.52,-0.03,0.07
2231,243.79,46.62,247.87,13.14,74.94,52.64,0.05,0.36
7415,232.80,36.34,217.51,15.10,60.87,51.77,0.16,0.25
5913,227.31,24.04,218.56,23.85,79.56,42.28,-0.05,0.49
1506,227.01,51.40,209.01,24.48,46.71,40.34,-0.12,0.16
2491,219.85,87.36,221.13,-6.39,48.80,56.61,-0.00,-0.09
8159,216.30,48.28,207.73,8.20,59.45,48.27,0.63,0.14
484,215.06,58.49,218.84,19.31,49.58,50.01,0.55,-0.07
1023,207.67,41.89,197.55,21.67,66.62,24.73,-0.13,-0.29
4322,202.93,50.29,200.79,13.37,45.34,46.16,0.20,-0.11
449,199.03,42.29,196.23,20.13,62.83,40.01,0.23,-0.02
111,198.73,60.57,187.24,9.79,52.56,48.46,0.03,0.25
3937,197.49,51.14,195.51,15.36,34.38,50.87,0.63,0.61
5895,189.97,55.39,189.74,7.74,55.46,42.54,0.00,0.30
9572,189.96,61.21,184.71,12.41,41.14,28.46,0.16,-0.03
2813,183.83,39.39,178.14,12.88,52.16,27.28,1.12,1.41
8229,181.94,62.53,183.63,5.21,41.86,46.41,0.33,-0.13
8119,180.60,59.23,176.10,19.02,40.83,35.97,0.07,-0.25
6528,173.76,44.49,173.75,12.83,46.18,39.15,0.26,0.48
2054,173.58,46.86,179.30,12.52,47.81,44.03,-0.09,0.27
3501,172.92,46.96,172.22,5.90,47.51,50.92,0.69,0.72
1391,167.18,31.41,167.89,11.12,43.49,56.85,0.09,0.16
7183,166.86,39.38,155.35,-0.94,52.91,44.32,0.23,-0.27
4020,166.68,51.02,160.01,5.20,35.10,37.28,0.06,0.02
1756,163.93,35.70,162.98,13.00,42.50,44.44,0.23,-0.21
10980,163.92,26.93,168.89,7.46,66.87,35.80,0.60,-0.30
2393,154.02,32.39,153.01,6.84,30.84,47.81,-0.01,-0.21
3931,145.81,52.25,141.85,5.00,26.21,42.89,0.05,-0.27
51,141.51,31.31,133.07,15.08,34.84,15.32,0.15,-0.31
2556,140.17,23.20,134.13,16.44,23.47,42.86,0.03,0.01
4655,140.07,17.84,139.25,19.04,40.11,30.22,0.48,0.36
4450,138.44,52.55,140.26,3.75,22.51,37.06,-0.33,0.02
16,138.41,38.80,115.11,1.84,39.91,35.18,0.23,-0.09
5653,131.15,34.27,121.53,1.43,33.47,36.99,-0.03,-0.12
2582,127.25,37.90,121.66,6.41,13.43,35.20,0.34,-0.04
3243,126.91,31.92,123.87,3.97,48.18,11.05,0.28,0.03
4766,125.88,30.48,117.30,8.20,29.50,37.73,0.47,0.65
2590,120.87,32.24,124.82,14.96,31.19,9.66,0.52,0.42
7915,118.00,46.16,115.49,0.31,14.03,46.58,0.07,0.56
4607,115.61,22.80,115.71,12.09,20.87,23.87,0.17,0.74
3753,115.46,46.55,105.57,-10.50,20.57,33.34,0.31,0.04
6985,107.50,26.09,108.11,-1.70,29.46,33.22,0.63,0.73
8858,106.06,16.99,99.83,4.00,24.36,34.82,0.34,0.09
1403,98.34,25.57,99.04,-1.09,24.22,19.72,0.39,0.28
6911,93.24,31.47,90.02,-5.52,15.83,43.82,-0.08,-0.14
4087,85.57,16.86,86.37,-1.39,30.42,11.73,0.82,0.70
6665,83.69,13.25,70.57,12.74,24.30,15.21,0.17,0.53
11242,79.17,-0.93,61.92,12.67,29.75,15.22,0.16,0.39
1816,75.87,4.56,67.59,6.36,18.28,13.62,0.49,0.07
3544,73.42,35.84,65.43,-5.38,-1.02,23.18,0.32,0.54
5577,71.49,11.29,66.80,6.34,20.00,14.20,0.31,0.45
6487,71.01,22.05,71.63,2.79,22.49,7.75,0.28,0.62
364,68.51,0.27,68.51,7.30,19.61,10.55,0.20,-0.33
4125,63.38,39.89,56.64,-2.95,4.66,9.82,-0.17,0.65
6201,63.34,9.92,61.71,4.97,21.97,15.83,-0.16,0.28
8069,62.61,20.19,62.59,0.91,10.71,17.93,-0.08,0.03
931,62.55,1.43,53.28,1.97,29.20,2.34,-0.02,0.23
6429,58.67,1.18,52.52,2.09,19.81,11.34,0.17,0.19
7840,58.40,7.04,56.75,5.42,21.97,13.98,-0.14,-0.45
5181,57.52,26.79,60.11,4.08,8.39,1.92,0.59,0.13
11417,47.25,-0.39,29.50,12.23,-9.78,8.69,-0.06,0.72
10034,47.06,9.92,29.31,-0.15,2.88,7.85,0.21,0.06
5705,41.21,1.36,43.86,7.15,12.64,7.81,-0.13,-0.04
614,40.95,8.75,39.89,0.45,13.34,7.69,0.20,0.26
10991,18.67,-23.41,19.13,10.49,12.98,-3.72,0.30,0.16
2635,10.41,-7.29,4.21,-0.30,-2.46,0.75,0.02,0.11
1533,7.53,10.13,1.40,-13.61,-16.39,2.92,0.25,-0.24
11244,-13.42,-7.66,-16.63,0.37,-8.20,0.81,-0.12,0.16
11214,-31.26,13.38,-23.26,-7.81,-14.90,-13.67,0.51,0.48
3082,-32.28,-8.41,-34.36,-3.12,-3.43,-15.16,0.01,-0.04