Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
3100,146.61,43.62,145.93,42.41,35.34,0.00,0.20
5348,85.26,7.95,78.27,30.84,19.30,0.03,0.02
2847,79.98,17.44,78.44,30.01,21.05,0.23,-0.11
2503,79.54,21.97,78.77,17.58,25.58,0.13,-0.12
3297,72.31,11.06,66.60,20.66,22.13,0.37,0.31
7797,71.63,13.39,45.16,7.77,11.56,-0.12,0.04
4009,67.90,22.43,65.55,16.63,18.93,0.14,-0.08
3267,67.27,10.90,41.38,8.91,11.24,0.02,-0.02
3130,63.59,-0.20,47.52,11.86,18.09,0.51,0.33
2861,63.10,16.44,59.72,15.08,21.04,0.08,0.08
2846,61.50,10.86,63.42,12.03,14.48,-0.00,0.06
5690,58.82,15.16,58.16,23.02,12.17,0.14,0.15
2823,50.81,15.55,50.70,7.74,21.32,0.04,0.12
11223,49.97,15.03,50.44,12.81,13.49,0.29,0.32
4674,46.07,15.33,47.42,7.66,14.88,0.49,-0.05
4778,43.54,7.97,42.67,15.31,11.20,0.66,-0.10
3926,34.39,7.43,25.12,6.99,0.59,0.01,-0.04
3082,33.22,16.15,32.60,5.99,4.33,0.67,0.10
6147,32.05,2.57,33.06,10.78,8.27,0.32,0.11
4656,31.66,7.40,30.27,6.52,7.16,0.12,-0.04
2181,28.19,10.84,27.62,7.16,7.61,-0.15,0.09
4624,26.69,1.50,23.30,10.75,3.60,0.19,0.10
6217,26.58,5.64,27.93,1.44,11.66,0.54,0.21
3883,26.44,3.98,19.96,6.05,0.90,-0.08,0.31
3630,26.10,6.35,26.21,5.69,2.43,0.03,-0.17
2501,23.44,4.38,15.14,4.65,3.55,0.06,0.03
8422,23.26,5.03,21.26,2.46,6.88,-0.13,-0.11
5658,23.04,6.03,18.78,4.40,1.72,0.12,0.04
10490,18.58,10.21,14.56,0.37,-1.98,-0.07,0.12
3691,18.10,11.42,21.42,1.37,4.69,0.12,-0.18
4741,17.12,5.16,11.90,-0.25,4.68,0.22,0.26
4166,16.33,4.44,15.22,2.60,-0.28,0.00,-0.10
3294,15.05,1.28,16.99,5.65,3.98,-0.38,-0.09
4536,13.87,2.30,13.98,4.37,0.61,-0.10,-0.06
7849,13.76,0.20,10.95,-0.49,10.49,0.15,-0.04
6044,13.05,5.75,11.73,2.86,-0.81,0.11,0.04
8516,11.73,6.83,10.31,3.37,0.44,-0.06,0.01
3042,11.45,-4.93,10.57,5.10,3.71,-0.15,-0.01
7864,6.96,8.04,6.39,-7.29,0.12,0.13,-0.02
4511,6.23,-2.72,6.35,1.11,-2.23,-0.17,0.03
4693,3.45,-3.75,2.64,-2.05,2.00,-0.00,0.22
2526,-2.48,-1.07,-3.21,-2.91,-3.47,0.69,0.01